doc_id|term_str|n|tfidf|sentiment|sentiment_weighted_count
40|good|1|2.8650704199138914|1.0|1.0
40|including|1|3.74512853570114|1.0|1.0
40|pilot|1|9.220861966667538|1.0|1.0
40|qualified|1|8.019228105497888|1.0|1.0
40|sick|1|6.814869606991701|-1.0|-1.0
40|sky|1|7.5427900615549|1.0|1.0
40|tired|1|7.083358442917603|-1.0|-1.0
40|top|1|5.343117716718536|1.0|1.0
40|worse|1|5.972934453223952|-1.0|-1.0
41|asshole|1|10.957827560833744|-1.0|-1.0
41|lick|1|10.5427900615549|-1.0|-1.0
42|deserve|1|9.957827560833744|1.0|1.0
42|job|1|5.042944174471695|1.0|1.0
42|speculation|1|8.735435139497296|-1.0|-1.0
43|gun|1|7.372865060112588|-1.0|-1.0
43|radiation|1|7.15047263877614|-1.0|-1.0
43|shoot|1|8.735435139497296|-1.0|-1.0
44|john|1|7.635899465946381|-1.0|-1.0
44|join|1|7.635899465946381|1.0|1.0
44|quote|1|8.372865060112588|0.0|0.0
44|vote|1|7.220861966667538|0.0|0.0
45|brightness|1|8.842350343413807|1.0|1.0
45|good|1|2.8650704199138914|1.0|1.0
45|gun|1|7.372865060112588|-1.0|-1.0
45|hit|1|6.034995421356204|-1.0|-1.0
45|perfection|1|10.957827560833744|1.0|1.0
45|precise|1|7.898933871780176|1.0|1.0
45|respect|1|6.928080217439692|1.0|1.0
45|success|1|7.294862548111315|1.0|1.0
45|working|1|4.8013230751537535|1.0|1.0
46|prosecute|1|9.735435139497296|-1.0|-1.0
47|case|2|9.142493015208256|-1.0|-2.0
47|exposed|1|7.116525306852802|-1.0|-1.0
48|found|1|5.423848988831392|1.0|1.0
49|general|1|4.60615212255233|1.0|1.0
49|incorrect|1|9.5427900615549|-1.0|-1.0
49|poorly|1|9.220861966667538|-1.0|-1.0
49|small|1|3.5885937511680246|-1.0|-1.0
49|talk|1|5.498395942196447|1.0|1.0
50|rot|1|10.957827560833744|-1.0|-1.0
50|survive|1|6.185238056936816|1.0|1.0
51|communist|1|8.735435139497296|-1.0|-1.0
51|influential|1|8.15047263877614|1.0|1.0
51|loyal|2|19.915655121667488|1.0|2.0
51|president|1|6.928080217439692|1.0|1.0
52|numbers|2|10.608770644459645|1.0|2.0
53|absurd|1|8.735435139497296|-1.0|-1.0
53|agree|1|6.372865060112588|1.0|1.0
53|arrest|1|7.957827560833744|-1.0|-1.0
53|athlete|2|19.0855801231098|1.0|2.0
53|brutal|1|10.5427900615549|-1.0|-1.0
53|case|1|4.571246507604128|-1.0|-1.0
53|civil|2|14.827014089219867|1.0|2.0
53|completely|1|5.423848988831392|1.0|1.0
53|contact|3|17.784240652319074|1.0|3.0
53|crime|1|6.413507044609934|-1.0|-1.0
53|criminal|2|15.797867743560351|-1.0|-2.0
53|deal|1|5.928080217439692|1.0|1.0
53|denying|1|11.5427900615549|-1.0|-1.0
53|facts|1|7.735435139497296|1.0|1.0
53|famous|1|6.476700871097128|1.0|1.0
53|favorite|1|8.5427900615549|1.0|1.0
53|focus|1|5.684809066427328|1.0|1.0
53|foul|1|10.5427900615549|-1.0|-1.0
53|freedom|1|6.684809066427328|1.0|1.0
53|harm|3|19.2405211338298|-1.0|-3.0
53|hit|1|6.034995421356204|-1.0|-1.0
53|illegal|1|5.972934453223952|-1.0|-1.0
53|legal|1|5.304385322229821|1.0|1.0
53|level|2|9.812330882022502|1.0|2.0
53|monster|1|10.957827560833744|-1.0|-1.0
53|officer|2|17.271798931892764|1.0|2.0
53|organization|1|6.76143034803024|1.0|1.0
53|penalty|2|15.684700686827616|-1.0|-2.0
53|player|2|13.74072943916681|-1.0|-2.0
53|police|4|26.262040552219933|1.0|4.0
53|public|3|16.088642914619896|1.0|3.0
53|purely|1|8.15047263877614|1.0|1.0
53|reason|1|3.9997582412996624|1.0|1.0
53|receiving|1|7.413507044609934|1.0|1.0
53|risk|1|4.348033207132652|-1.0|-1.0
53|violence|1|6.898933871780176|-1.0|-1.0
53|violent|2|16.58972509622263|-1.0|-2.0
54|alienated|1|12.5427900615549|-1.0|-1.0
54|defect|1|10.5427900615549|-1.0|-1.0
54|rest|1|5.60027555621566|1.0|1.0
54|risk|1|4.348033207132652|-1.0|-1.0
54|veto|1|12.5427900615549|-1.0|-1.0
56|assembly|1|9.372865060112588|1.0|1.0
56|clarify|1|7.842350343413808|1.0|1.0
56|completely|2|10.847697977662785|1.0|2.0
56|confusion|1|7.635899465946381|-1.0|-1.0
56|council|1|9.083358442917604|1.0|1.0
56|deal|1|5.928080217439692|1.0|1.0
56|explain|1|5.099846565706172|1.0|1.0
56|force|1|5.48750762605371|-1.0|-1.0
56|greater|7|48.91740846914084|1.0|7.0
56|important|1|2.551268215479205|1.0|1.0
56|lord|1|9.372865060112588|0.0|0.0
56|mayor|5|52.713950307774496|1.0|5.0
56|mistake|2|15.684700686827616|-1.0|-2.0
56|police|2|13.131020276109966|1.0|2.0
56|population|1|6.434265604776731|1.0|1.0
56|provide|2|9.259801450649878|1.0|2.0
56|question|1|4.849303104055575|1.0|1.0
56|reason|1|3.9997582412996624|1.0|1.0
56|rest|1|5.60027555621566|1.0|1.0
56|special|2|8.837337499451426|1.0|2.0
56|word|1|6.167750630207975|1.0|1.0
56|worth|1|4.9354597478052895|1.0|1.0
57|accomplish|1|9.083358442917604|1.0|1.0
57|action|1|6.167750630207975|1.0|1.0
