term_str|n|max_pos|max_pos_group|p|i|df|dfidf|porter_stem|stop|sentiment
malfeasance|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|malfeas|False|-1.0
malicious|9|JJ|ADJ|1.0372929880146558e-05|16.556817027099083|8|132.45453621679266|malici|False|-1.0
malpractice|1|NNP|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|malpractic|False|-1.0
manage|157|VB|VERB|0.0001809499990203|12.432121279649769|133|1653.472130193419|manag|False|1.0
management|104|NN|NOUN|0.0001198649675039|13.026302310400302|82|1068.1567894528248|manag|False|1.0
mania|2|NNP|NOUN|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|mania|False|-1.0
maniacal|1|JJ|ADJ|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|maniac|False|-1.0
manifested|2|VBD|VERB|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|manifest|False|1.0
manipulate|11|VB|VERB|1.2678025409068016e-05|16.2673104099041|11|178.94041450894508|manipul|False|-1.0
manipulation|11|NN|NOUN|1.2678025409068016e-05|16.2673104099041|10|162.67310409904098|manipul|False|-1.0
manly|2|RB|ADV|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|manli|False|1.0
manners|2|NNS|NOUN|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|manner|False|1.0
manufacturer|12|NN|NOUN|1.3830573173528744e-05|16.141779527820237|12|193.7013543338429|manufactur|False|1.0
march|21|NNP|NOUN|2.4203503053675303e-05|15.334424605762631|17|260.68521829796475|march|False|1.0
